Piece Mark,Pipe Length (Quantity),WLD % All (scaled),% Entry (computed),Shipped
LP1Y-ACN-011012-02-1,0,0.0,0.0,N
LP1Y-ACN-011014-02-1,12.36,0.0,0.0,N
LP1Y-ACN-063302-07-1,12.27,0.0,0.0,N
LP1Y-ACN-107012-04-1,18.34,0.0,0.0,N
LP1Y-ACN-107012-04-2,4.07,0.0,0.0,N
LP1Y-ACN-107012-04-3,9.71,0.0,0.0,N
LP1Y-ACN-107102-02-1,0,0.0,0.0,N
LP1Y-ACN-107102-02-2,1.73,0.0,0.0,N
LP1Y-ACN-107102-02-3,4.35,0.0,0.0,N
LP1Y-ACN-107102-02-4,4.1,0.0,0.0,N
LP1Y-ACN-107102-02-5,11.47,0.0,0.0,N
LP1Y-ACN-107102-02-6,0.42,0.0,0.0,N
LP1Y-ACN-107102-02-7,6.27,0.0,0.0,N
LP1Y-ACN-107103-01-1,0,0.0,0.0,N
LP1Y-ACN-107103-01-2,10.54,0.0,0.0,N
LP1Y-ACN-107103-02-1,0,0.0,0.0,N
LP1Y-ACN-107103-02-2,3.03,0.0,0.0,N
LP1Y-ACN-107103-02-3,1.24,0.0,0.0,N
LP1Y-ACN-107103-02-4,6.56,0.0,0.0,N
LP1Y-ACN-107105-01-1,0,0.0,0.0,N
LP1Y-ACN-107105-01-2,2.8,0.0,0.0,N
LP1Y-ACN-107105-01-3,1.08,0.0,0.0,N
LP1Y-ACN-107105-01-4,1.83,0.0,0.0,N
LP1Y-ACN-107105-01-5,10.52,0.0,0.0,N
LP1Y-ACN-107105-01-6,3.63,0.0,0.0,N
LP1Y-ACN-107105-02-1,9.68,0.0,0.0,N
LP1Y-ACN-107105-02-2,3.83,0.0,0.0,N
LP1Y-ACN-107105-02-3,2.96,0.0,0.0,N
LP1Y-ACN-107105-03-1,11.43,0.0,0.0,N
LP1Y-ACN-107105-03-2,4.66,0.0,0.0,N
LP1Y-ACN-107105-05-1,0,0.0,0.0,N
LP1Y-ACN-107105-05-2,1.74,0.0,0.0,N
LP1Y-ACN-107105-05-3,3.61,0.0,0.0,N
LP1Y-ACN-107105-05-4,4.42,0.0,0.0,N
LP1Y-ACN-107105-05-5,2.83,0.0,0.0,N
LP1Y-ACN-107105-05-6,24.94,0.0,0.0,N
LP1Y-ACN-107106-01-1,2.75,0.0,0.0,N
LP1Y-ACN-107106-01-2,2.42,0.0,0.0,N
LP1Y-ACN-107106-01-3,7.28,0.0,0.0,N
LP1Y-ACN-107106-01-4,3.5,0.0,0.0,N
LP1Y-ACN-107116-01-1,13.69,0.0,0.0,N
LP1Y-ACN-107116-01-2,7.05,0.0,0.0,N
LP1Y-ACN-107116-01-3,10.02,0.0,0.0,N
LP1Y-ACN-107117-01-1,13.42,0.0,0.0,N
LP1Y-ACN-107117-01-2,8.78,0.0,0.0,N
LP1Y-ACN-107117-04-1,10.99,0.0,0.0,N
LP1Y-ACN-107202-02-1,0,0.0,0.0,N
LP1Y-ACN-107202-02-2,1.73,0.0,0.0,N
LP1Y-ACN-107202-02-3,4.35,0.0,0.0,N
LP1Y-ACN-107202-02-4,4.1,0.0,0.0,N
LP1Y-ACN-107202-02-5,10.97,0.0,0.0,N
LP1Y-ACN-107202-02-6,0.92,0.0,0.0,N
LP1Y-ACN-107202-02-7,6.46,0.0,0.0,N
LP1Y-ACN-107203-01-1,0,0.0,0.0,N
