"Connection_Type","Component","Run_Size","Makeup_Run_In"
"BW","45L","0.5","0.63"
"BW","45L","0.75","0.433"
"BW","45L","1","0.866"
"BW","45L","1.25","0.984"
"BW","45L","1.5","1.142"
"BW","45L","2","1.378"
"BW","45L","2.5","1.732"
"BW","45L","3","2.008"
"BW","45L","3.5","2.244"
"BW","45L","4","2.52"
"BW","45L","5","3.11"
"BW","45L","6","3.74"
"BW","45L","8","5"
"BW","45L","10","5.906"
"BW","45L","12","7.48"
"BW","45L","14","8.74"
"BW","45L","16","10"
"BW","45L","18","11.26"
"BW","45L","20","12.52"
"BW","45L","24","15"
"BW","45L","26","15.984"
"BW","45L","30","18.504"
"BW","45L","36","22.244"
"BW","45L","42","33.858"
"BW","90L","0.5","1.496"
"BW","90L","0.75","1.142"
"BW","90L","1","1.496"
"BW","90L","1.25","1.89"
"BW","90L","1.5","2.244"
"BW","90L","2","2.992"
"BW","90L","2.5","3.74"
"BW","90L","3","4.488"
"BW","90L","3.5","5.236"
"BW","90L","4","5.984"
"BW","90L","5","7.48"
"BW","90L","6","9.016"
"BW","90L","8","12.008"
"BW","90L","10","15"
"BW","90L","12","17.992"
"BW","90L","14","20.984"
"BW","90L","16","24.016"
"BW","90L","18","27.008"
"BW","90L","20","30"
"BW","90L","24","35.984"
"BW","90L","26","39.016"
"BW","90L","30","45"
"BW","90L","36","54.016"
"BW","90L","42","62.992"
"BW","CAP","0.5","0.984"
"BW","CAP","0.75","0.984"
"BW","CAP","1","1.496"
"BW","CAP","1.25","1.496"
"BW","CAP","1.5","1.496"
"BW","CAP","2","1.496"
"BW","CAP","2.5","1.496"
"BW","CAP","3","2.008"
"BW","CAP","3.5","2.52"
"BW","CAP","4","2.52"
"BW","CAP","5","3.071"
"BW","CAP","6","3.504"
"BW","CAP","8","4.016"
"BW","CAP","10","5"
"BW","CAP","12","5.984"
"BW","CAP","14","6.496"
"BW","CAP","16","7.008"
"BW","CAP","18","7.992"
"BW","CAP","20","9.016"
"BW","CAP","22","10"
"BW","CAP","24","10.512"
"BW","CAP","26","10.512"
"BW","CAP","30","10.512"
"BW","CAP","36","10.512"
"BW","CAP","42","12.008"
"BW","RED","28","24.016"
"BW","RED","32","24.016"
"BW","RED","34","24.016"
"BW","RED","36","24.016"
"BW","RED","38","24.016"
"BW","RED","40","24.016"
"BW","RED","42","24.016"
"BW","RED","44","24.016"
"BW","RED","46","27.992"
"BW","RED","48","27.992"
"BW","RED","0.75","1.496"
"BW","RED","1","2.008"
"BW","RED","1.25","2.008"
"BW","RED","1.5","2.52"
"BW","RED","2","2.992"
"BW","RED","2.5","3.504"
"BW","RED","3","3.504"
"BW","RED","3.5","4.016"
"BW","RED","4","4.016"
"BW","RED","5","5"
"BW","RED","6","5.512"
"BW","RED","8","5.984"
"BW","RED","10","7.008"
"BW","RED","12","7.992"
"BW","RED","14","12.992"
"BW","RED","16","14.016"
"BW","RED","18","15"
"BW","RED","20","20"
"BW","RED","22","20"
"BW","RED","24","20"
"BW","RED","26","24.016"
"BW","RED","30","24.016"
"BW","WOL","0.5","0.75"
"BW","WOL","0.75","0.876"
"BW","WOL","1","1.063"
"BW","WOL","1.25","1.25"
"BW","WOL","1.5","1.313"
"BW","WOL","2","1.5"
"BW","WOL","2.5","1.625"
"BW","WOL","3","1.75"
"BW","WOL","3.5","1.875"
"BW","WOL","4","2"
"BW","WOL","5","2.25"
"BW","WOL","6","3.063"
"BW","WOL","8","3.688"
"BW","WOL","10","3.875"
"BW","WOL","12","3.937"
"BW","WOL","14","4.063"
"BW","WOL","16","4.187"
"BW","WOL","18","4.375"
"BW","WOL","20","4.688"
"BW","WOL","24","5.5"
"SW","SOL","0.5","0.6299"
"SW","SOL","0.75","0.6299"
"SW","SOL","1","0.8661"
"SW","SOL","1.5","0.9449"
"SW","SOL","2","0.9449"
"SW","SOL","2.5","0.9843"
"SW","SOL","3","1.1811"
"SW","SOL","4","1.1811"
"SW","SOL","0.5","0.9449"
"SW","SOL","0.75","0.9843"
"SW","SOL","1","1.1024"
"SW","SOL","1.5","1.2598"
"SW","SOL","2","1.4567"
"SW","SOL","2.5","1.811"
"SW","SOL","3","2.0079"
"SW","SOL","4","2.2441"
"BW","STUB","0.5","2"
"BW","STUB","0.75","2"
"BW","STUB","1","2"
"BW","STUB","1.25","2"
"BW","STUB","1.5","2"
"BW","STUB","2","2.5"
"BW","STUB","2.5","2.5"
"BW","STUB","3","2.5"
"BW","STUB","4","3"
"BW","STUB","5","3"
"BW","STUB","6","3.5"
"BW","STUB","8","4"
"BW","STUB","10","5"
"BW","STUB","12","6"
"BW","STUB","14","6"
"BW","STUB","16","6"
"BW","STUB","18","6"
"BW","STUB","20","6"
"BW","STUB","24","6"
"BW","STUB","0.5","2"
"BW","STUB","0.75","2"
"BW","STUB","1","2"
"BW","STUB","1.25","2"
"BW","STUB","1.5","2"
"BW","STUB","2","2.5"
"BW","STUB","2.5","2.5"
"BW","STUB","3","2.5"
"BW","STUB","4","3"
"BW","STUB","5","3"
"BW","STUB","6","3.5"
"BW","STUB","8","4"
"BW","STUB","10","5"
"BW","STUB","12","6"
"BW","REDT","0.5","0.984"
"BW","REDT","0.5","0.984"
"BW","REDT","0.75","1.142"
"BW","REDT","0.75","1.142"
"BW","REDT","1","1.496"
"BW","REDT","1","1.496"
"BW","REDT","1.25","1.89"
"BW","REDT","1.25","1.89"
"BW","REDT","1.25","1.89"
"BW","REDT","1.5","2.244"
"BW","REDT","1.5","2.244"
"BW","REDT","1.5","2.244"
"BW","REDT","1.5","2.244"
"BW","REDT","2","2.52"
"BW","REDT","2","2.52"
"BW","REDT","2","2.52"
"BW","REDT","2","2.52"
"BW","REDT","2.5","2.992"
"BW","REDT","2.5","2.992"
"BW","REDT","2.5","2.992"
"BW","REDT","2.5","2.992"
"BW","REDT","3","3.386"
"BW","REDT","3","3.386"
"BW","REDT","3","3.386"
"BW","REDT","3","3.386"
"BW","REDT","3.5","3.74"
"BW","REDT","3.5","3.74"
"BW","REDT","3.5","3.74"
"BW","REDT","3.5","3.74"
"BW","REDT","4","4.134"
"BW","REDT","4","4.134"
"BW","REDT","4","4.134"
"BW","REDT","4","4.134"
"BW","REDT","4","4.134"
"BW","REDT","5","4.882"
"BW","REDT","5","4.882"
"BW","REDT","5","4.882"
"BW","REDT","5","4.882"
"BW","REDT","5","4.882"
"BW","REDT","6","5.63"
"BW","REDT","6","5.63"
"BW","REDT","6","5.63"
"BW","REDT","6","5.63"
"BW","REDT","6","5.63"
"BW","REDT","8","7.008"
"BW","REDT","8","7.008"
"BW","REDT","8","7.008"
"BW","REDT","8","7.008"
"BW","REDT","10","8.504"
"BW","REDT","10","8.504"
"BW","REDT","10","8.504"
"BW","REDT","10","8.504"
"BW","REDT","12","10"
"BW","REDT","12","10"
"BW","REDT","12","10"
"BW","REDT","12","10"
"BW","REDT","14","10.984"
"BW","REDT","14","10.984"
"BW","REDT","14","10.984"
"BW","REDT","14","10.984"
"BW","REDT","16","12.008"
"BW","REDT","16","12.008"
"BW","REDT","16","12.008"
"BW","REDT","16","12.008"
"BW","REDT","16","12.008"
"BW","REDT","18","13.504"
"BW","REDT","18","13.504"
"BW","REDT","18","13.504"
"BW","REDT","18","13.504"
"BW","REDT","18","13.504"
"BW","REDT","20","15"
"BW","REDT","20","15"
"BW","REDT","20","15"
"BW","REDT","20","15"
"BW","REDT","20","15"
"BW","REDT","20","15"
"BW","REDT","22","16.496"
"BW","REDT","22","16.496"
"BW","REDT","22","16.496"
"BW","REDT","22","16.496"
"BW","REDT","22","16.496"
"BW","REDT","22","16.496"
"BW","REDT","24","17.008"
"BW","REDT","24","17.008"
"BW","REDT","24","17.008"
"BW","REDT","24","17.008"
"BW","REDT","24","17.008"
"BW","REDT","24","17.008"
"BW","REDT","24","17.008"
"BW","REDT","26","19.488"
"BW","REDT","26","19.488"
"BW","REDT","26","19.488"
"BW","REDT","26","19.488"
"BW","REDT","26","19.488"
"BW","REDT","26","19.488"
"BW","REDT","26","19.488"
"BW","REDT","28","20.512"
"BW","REDT","28","20.512"
"BW","REDT","28","20.512"
"BW","REDT","28","20.512"
"BW","REDT","28","20.512"
"BW","REDT","28","20.512"
"BW","REDT","28","20.512"
"BW","REDT","28","20.512"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","30","22.008"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","32","23.504"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","34","25"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","36","26.496"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","38","27.992"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","40","29.488"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","42","30"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","44","32.008"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","46","33.504"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"BW","REDT","48","35"
"SW","REDT","0.75","0.768"
"SW","REDT","1","0.866"
"SW","REDT","1","0.866"
"SW","REDT","1.25","1.063"
"SW","REDT","1.25","1.063"
"SW","REDT","1.25","1.063"
"SW","REDT","1.5","1.26"
"SW","REDT","1.5","1.26"
"SW","REDT","1.5","1.26"
"SW","REDT","1.5","1.26"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","0.75","0.768"
"SW","REDT","1","0.866"
"SW","REDT","1","0.866"
"SW","REDT","1.25","1.063"
"SW","REDT","1.25","1.063"
"SW","REDT","1.25","1.063"
"SW","REDT","1.5","1.26"
"SW","REDT","1.5","1.26"
"SW","REDT","1.5","1.26"
"SW","REDT","1.5","1.26"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2","1.496"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","2.5","1.634"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","3","2.264"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"SW","REDT","4","2.618"
"BW","TEE","0.5","0.984"
"BW","TEE","0.75","1.142"
"BW","TEE","1","1.496"
"BW","TEE","1.25","1.89"
"BW","TEE","1.5","2.244"
"BW","TEE","2","2.52"
"BW","TEE","2.5","2.992"
