Key,EstGrp,Size,SchRtg,Unit,FldMhu
ANCH-0.625,ANCH,0.625,,EA,1
ANLZR,ANLZR,,,EA,6
ANLZR-0.5,ANLZR,0.5,,EA,6
ANLZR-0.75,ANLZR,0.75,,EA,6
ANLZR-1,ANLZR,1,,EA,6
ANLZR-1.5,ANLZR,1.5,,EA,6
ANLZR-2,ANLZR,2,,EA,6
ANLZR-3,ANLZR,3,,EA,6
BEV-0.5,BEV,0.5,,EA,0.06
BEV-0.5:S10,BEV,0.5,S10,EA,0.05
BEV-0.5:S160,BEV,0.5,S160,EA,0.14
BEV-0.5:S30,BEV,0.5,S30,EA,0.06
BEV-0.5:S40,BEV,0.5,S40,EA,0.06
BEV-0.5:S5,BEV,0.5,S5,EA,0.05
BEV-0.5:S80,BEV,0.5,S80,EA,0.1
BEV-0.5:STD,BEV,0.5,STD,EA,0.06
BEV-0.5:XS,BEV,0.5,XS,EA,0.1
BEV-0.5:XXS,BEV,0.5,XXS,EA,0.209
BEV-0.75,BEV,0.75,,EA,0.06
BEV-0.75:S10,BEV,0.75,S10,EA,0.05
BEV-0.75:S160,BEV,0.75,S160,EA,0.14
BEV-0.75:S30,BEV,0.75,S30,EA,0.06
BEV-0.75:S40,BEV,0.75,S40,EA,0.06
BEV-0.75:S5,BEV,0.75,S5,EA,0.05
BEV-0.75:S80,BEV,0.75,S80,EA,0.1
BEV-0.75:STD,BEV,0.75,STD,EA,0.06
BEV-0.75:XS,BEV,0.75,XS,EA,0.1
BEV-0.75:XXS,BEV,0.75,XXS,EA,0.209
BEV-1,BEV,1,,EA,0.07
BEV-1.25,BEV,1.25,,EA,0.07
BEV-1.25:S10,BEV,1.25,S10,EA,0.06
BEV-1.25:S160,BEV,1.25,S160,EA,0.15
BEV-1.25:S30,BEV,1.25,S30,EA,0.07
BEV-1.25:S40,BEV,1.25,S40,EA,0.07
BEV-1.25:S5,BEV,1.25,S5,EA,0.06
BEV-1.25:S80,BEV,1.25,S80,EA,0.11
BEV-1.25:STD,BEV,1.25,STD,EA,0.07
BEV-1.25:XS,BEV,1.25,XS,EA,0.11
BEV-1.25:XXS,BEV,1.25,XXS,EA,0.215
BEV-1.5,BEV,1.5,,EA,0.08
BEV-1.5:DR11,BEV,1.5,DR11,EA,0
BEV-1.5:S10,BEV,1.5,S10,EA,0.07
BEV-1.5:S160,BEV,1.5,S160,EA,0.16
BEV-1.5:S30,BEV,1.5,S30,EA,0.08
BEV-1.5:S40,BEV,1.5,S40,EA,0.08
BEV-1.5:S5,BEV,1.5,S5,EA,0.07
BEV-1.5:S80,BEV,1.5,S80,EA,0.12
BEV-1.5:STD,BEV,1.5,STD,EA,0.08
BEV-1.5:XS,BEV,1.5,XS,EA,0.12
BEV-1.5:XXS,BEV,1.5,XXS,EA,0.216
BEV-1:S10,BEV,1,S10,EA,0.06
BEV-1:S160,BEV,1,S160,EA,0.15
BEV-1:S30,BEV,1,S30,EA,0.07
BEV-1:S40,BEV,1,S40,EA,0.07
BEV-1:S5,BEV,1,S5,EA,0.06
BEV-1:S80,BEV,1,S80,EA,0.11
BEV-1:STD,BEV,1,STD,EA,0.07
BEV-1:XS,BEV,1,XS,EA,0.11
BEV-1:XXS,BEV,1,XXS,EA,0.215
BEV-10,BEV,10,,EA,0.51
"BEV-10:1.25"" WT",BEV,10,"1.25"" WT",EA,1.406
"BEV-10:1.5"" WT",BEV,10,"1.5"" WT",EA,1.687
"BEV-10:1.75"" WT",BEV,10,"1.75"" WT",EA,1.974
"BEV-10:2"" WT",BEV,10,"2"" WT",EA,2.25
BEV-10:DR11,BEV,10,DR11,EA,0
BEV-10:S10,BEV,10,S10,EA,0.38
BEV-10:S100,BEV,10,S100,EA,0.86
BEV-10:S120,BEV,10,S120,EA,0.95
BEV-10:S140,BEV,10,S140,EA,1.121
BEV-10:S160,BEV,10,S160,EA,1.267
BEV-10:S20,BEV,10,S20,EA,0.51
BEV-10:S30,BEV,10,S30,EA,0.51
BEV-10:S40,BEV,10,S40,EA,0.51
BEV-10:S5,BEV,10,S5,EA,0.31
BEV-10:S60,BEV,10,S60,EA,0.72
BEV-10:S80,BEV,10,S80,EA,0.78
BEV-10:STD,BEV,10,STD,EA,0.51
BEV-10:XS,BEV,10,XS,EA,0.72
BEV-10:XXS,BEV,10,XXS,EA,1.121
BEV-12,BEV,12,,EA,0.68
"BEV-12:1.5"" WT",BEV,12,"1.5"" WT",EA,2.079
"BEV-12:1.75"" WT",BEV,12,"1.75"" WT",EA,2.432
"BEV-12:2"" WT",BEV,12,"2"" WT",EA,2.773
BEV-12:DR11,BEV,12,DR11,EA,0
BEV-12:S10,BEV,12,S10,EA,0.54
BEV-12:S100,BEV,12,S100,EA,1.18
BEV-12:S120,BEV,12,S120,EA,1.392
BEV-12:S140,BEV,12,S140,EA,1.573
BEV-12:S160,BEV,12,S160,EA,1.824
BEV-12:S20,BEV,12,S20,EA,0.55
BEV-12:S30,BEV,12,S30,EA,0.55
BEV-12:S40,BEV,12,S40,EA,0.68
BEV-12:S5,BEV,12,S5,EA,0.53
BEV-12:S60,BEV,12,S60,EA,1.02
BEV-12:S80,BEV,12,S80,EA,1.08
BEV-12:STD,BEV,12,STD,EA,0.55
BEV-12:XS,BEV,12,XS,EA,0.86
BEV-12:XXS,BEV,12,XXS,EA,1.392
BEV-14,BEV,14,,EA,0.91
"BEV-14:1.5"" WT",BEV,14,"1.5"" WT",EA,2.617
"BEV-14:1.75"" WT",BEV,14,"1.75"" WT",EA,3.062
"BEV-14:2"" WT",BEV,14,"2"" WT",EA,3.491
BEV-14:DR11,BEV,14,DR11,EA,0
BEV-14:S10,BEV,14,S10,EA,0.48
BEV-14:S100,BEV,14,S100,EA,1.638
BEV-14:S120,BEV,14,S120,EA,1.916
BEV-14:S140,BEV,14,S140,EA,2.184
BEV-14:S160,BEV,14,S160,EA,2.446
BEV-14:S20,BEV,14,S20,EA,0.77
BEV-14:S30,BEV,14,S30,EA,0.77
BEV-14:S40,BEV,14,S40,EA,0.91
BEV-14:S5,BEV,14,S5,EA,0.48
BEV-14:S60,BEV,14,S60,EA,1.13
BEV-14:S80,BEV,14,S80,EA,1.31
BEV-14:STD,BEV,14,STD,EA,0.77
BEV-14:XS,BEV,14,XS,EA,1.02
BEV-16,BEV,16,,EA,1.27
"BEV-16:1.75"" WT",BEV,16,"1.75"" WT",EA,3.215
"BEV-16:2"" WT",BEV,16,"2"" WT",EA,3.665
"BEV-16:2.25"" WT",BEV,16,"2.25"" WT",EA,4.141
BEV-16:DR11,BEV,16,DR11,EA,0
BEV-16:S10,BEV,16,S10,EA,0.56
BEV-16:S100,BEV,16,S100,EA,1.891
BEV-16:S120,BEV,16,S120,EA,1.96
